Ensembl,HGNC,Entrez,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
ENSG00000167244,IGF2,3481.00,721.00,782.00,863.00,661.00,610.00,494.00,674.00,66.00,183.00,583239.00,4283.00,4032.00,8449.00,11820.00,4450.00,3233.00,8124.00,5993.00,3491.00,3702.00
ENSG00000189058,APOD,347.00,214.00,320.00,182.00,783.00,385103.00,890.00,10803.00,166.00,2443.00,158.00,12173.00,13625.00,12667.00,12711.00,87681.00,11696.00,11054.00,15817.00,32942.00,14442.00
ENSG00000115414,FN1,2335.00,74123.00,351603.00,42180.00,17020.00,103344.00,86537.00,38634.00,14152.00,52065.00,12911.00,10179.00,72480.00,18748.00,17637.00,20482.00,5230.00,16933.00,12902.00,3327.00,19109.00
ENSG00000124942,AHNAK,79026.00,16910.00,28164.00,5561.00,1904.00,35614.00,13005.00,3163.00,7273.00,12780.00,20982.00,45596.00,142264.00,81644.00,229782.00,87593.00,83023.00,165419.00,101222.00,30025.00,240497.00
ENSG00000111341,MGP,4256.00,2387.00,31750.00,42924.00,29501.00,1949.00,267888.00,20446.00,32207.00,4004.00,2588.00,206810.00,18101.00,84370.00,11172.00,79636.00,71991.00,50623.00,123079.00,125833.00,15452.00
ENSG00000087086,FTL,2512.00,35567.00,67249.00,28968.00,15437.00,300220.00,35556.00,27195.00,36701.00,22954.00,39937.00,33490.00,176245.00,17875.00,70548.00,81094.00,25022.00,44859.00,32186.00,25729.00,139545.00
ENSG00000167676,PLIN4,729359.00,45.00,254.00,520.00,54.00,235.00,86.00,323.00,31.00,28.00,1014.00,5758.00,79422.00,19472.00,192575.00,108069.00,13854.00,62917.00,36136.00,2215.00,192690.00
ENSG00000111640,GAPDH,2597.00,54616.00,109053.00,83651.00,41827.00,17113.00,68124.00,212582.00,185444.00,163759.00,81468.00,37100.00,22446.00,26837.00,15532.00,31303.00,19385.00,21146.00,25982.00,63165.00,18726.00
ENSG00000087460,GNAS,2778.00,31421.00,34051.00,272582.00,62891.00,37730.00,28921.00,113274.00,36358.00,29407.00,28914.00,24490.00,23001.00,19434.00,24198.00,23896.00,17315.00,21891.00,20167.00,28566.00,24174.00
ENSG00000156508,EEF1A1,1915.00,62315.00,44373.00,55470.00,60740.00,50608.00,50804.00,94967.00,244692.00,153364.00,141643.00,159401.00,113656.00,161988.00,122768.00,143488.00,113662.00,122489.00,139942.00,179570.00,111557.00
ENSG00000184009,ACTB,60.00,104431.00,187518.00,253793.00,103596.00,69233.00,124072.00,185185.00,88290.00,119075.00,134583.00,82066.00,83073.00,70570.00,64955.00,103656.00,50405.00,60631.00,66599.00,104422.00,64842.00
ENSG00000168542,COL3A1,1281.00,69002.00,63636.00,32819.00,6106.00,109892.00,91197.00,27835.00,8188.00,38733.00,15786.00,39902.00,199248.00,126054.00,35453.00,27017.00,18318.00,49413.00,19781.00,34650.00,43704.00
ENSG00000108821,COL1A1,1277.00,103007.00,109430.00,72188.00,10786.00,112912.00,113147.00,25238.00,8781.00,37279.00,21656.00,52818.00,146930.00,100296.00,18165.00,23289.00,10019.00,35800.00,11675.00,39255.00,17914.00
ENSG00000271968,ADAM6,8755.00,44030.00,163833.00,9409.00,1877.00,76296.00,6539.00,8902.00,12080.00,23743.00,2548.00,73280.00,410.00,24738.00,1394.00,73793.00,32814.00,19390.00,90326.00,30271.00,1735.00
ENSG00000099194,SCD,6319.00,3835.00,12340.00,1089.00,917.00,89054.00,2339.00,18276.00,3855.00,17051.00,110180.00,5162.00,12003.00,20363.00,85939.00,54122.00,5057.00,144908.00,36830.00,10598.00,35382.00
ENSG00000026025,VIM,7431.00,21174.00,47966.00,26682.00,6068.00,11062.00,23302.00,21126.00,12728.00,18850.00,7622.00,44031.00,124990.00,27740.00,117300.00,89291.00,32192.00,56132.00,60082.00,29938.00,132538.00
ENSG00000113140,SPARC,6678.00,55759.00,36251.00,82430.00,9884.00,70599.00,45731.00,21956.00,23672.00,38811.00,14914.00,27634.00,86863.00,37149.00,113777.00,66597.00,21106.00,81910.00,41728.00,19767.00,170124.00
ENSG00000133112,TPT1,7178.00,22143.00,27633.00,50243.00,18885.00,67648.00,16099.00,53753.00,196773.00,53005.00,81194.00,78253.00,78018.00,71681.00,83189.00,78012.00,46106.00,51912.00,70441.00,86199.00,73658.00
ENSG00000181092,ADIPOQ,9370.00,47.00,199.00,49.00,1.00,427.00,4.00,1934.00,29.00,18.00,18.00,1317.00,51822.00,5580.00,121963.00,23352.00,12393.00,47442.00,17179.00,804.00,121017.00
