"","Entrez","GeneSymbol","EntrezGeneID","EnsemblGeneID","moduleColor","GS.er_status","p.GS.er_status","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.purple","p.MM.purple","MM.yellow","p.MM.yellow","MM.magenta","p.MM.magenta","MM.brown","p.MM.brown","MM.greenyellow","p.MM.greenyellow","MM.tan","p.MM.tan","MM.black","p.MM.black","MM.red","p.MM.red","MM.green","p.MM.green","MM.pink","p.MM.pink","MM.grey","p.MM.grey"
"9061","9061","PAPSS1",9061,"ENSG00000138801","black",-0.673873730610514,0.00301619619207162,-0.731494604684416,0.0008465339385597,0.710075304480946,0.0014047779670594,-0.522278544395371,0.0315005095211833,0.389789126244907,0.121947702261041,0.589133664513131,0.0128291119181977,0.300178091559381,0.241744790073836,0.683069782048763,0.00250858796713601,0.462326941215024,0.0616896822631124,0.796464827919144,0.000130218767178016,0.147624728335833,0.571786087905552,-0.465213486899789,0.0598721120123657,-0.0413738225259216,0.874723605573787,0.169688822106234,0.514981054459457
"8079","8079","MLF2",8079,"ENSG00000089693","black",-0.601348546038442,0.0106660773256911,-0.58376412107208,0.0138833742605386,0.707985736000403,0.00147249726702208,-0.430850798549322,0.0842473871255487,0.409336452194462,0.102763375418919,0.251635971972778,0.329910958842822,0.404523051759456,0.107273339542513,0.733123562278395,0.000813009466179307,0.103198236208928,0.69347593410889,0.773486887254021,0.000270243226582208,0.180067531580151,0.489205976418302,-0.478502270269457,0.0520132195792161,-0.0940061610115609,0.719692069814612,0.061163068968348,0.815613370254794
"9918","9918","NCAPD2",9918,"ENSG00000010292","black",-0.596081559861202,0.0115600471740549,-0.563528697149936,0.0184848439577099,0.690736667251274,0.00214079811638487,-0.362794972781095,0.152369315480925,0.276585471842822,0.282522631512625,0.649074730505748,0.00481374695111338,0.0479258352795494,0.855068099893114,0.547015336924162,0.0230589409005633,0.266647059827546,0.300876292707069,0.854394759253625,1.26273568255545e-05,0.277572735377169,0.280737412063076,-0.501278772088091,0.0403732439175918,-0.111795130249092,0.669250654169758,0.158172105792946,0.544300817361347
"5216","5216","PFN1",5216,"ENSG00000108518","black",-0.589452686252153,0.0127685280727486,-0.574061884071342,0.0159607794620123,0.55104511070963,0.0218693392147185,-0.28972844348289,0.259320942162308,0.24538117436595,0.342471677061326,0.388365868008927,0.123435928362873,0.45729712261332,0.0649539953954089,0.796542611673677,0.000129877541560678,0.471544231127618,0.0560253511461158,0.804972624105859,9.70763155168938e-05,0.192561894295271,0.459026592677419,-0.502727751641266,0.0397062071737316,0.0257142509858057,0.921962256475826,0.237863665599301,0.357924575182465
"9654","9654","TTLL4",9654,"ENSG00000135912","black",-0.582609872449223,0.0141186796868286,-0.580582007975405,0.0145396900358168,0.737323920639074,0.000731600660052174,-0.421186736231732,0.092238369959018,0.442951192776224,0.0749642316102219,0.353841916504563,0.163507772113715,0.127761941794509,0.625080746996502,0.576679692097871,0.0153776653530771,0.195388981809806,0.452330448889595,0.823838973598589,4.79859198449891e-05,0.189987639502555,0.46516686254304,-0.470424869483807,0.0566917297568611,-0.133380891832955,0.609810034928071,0.00706926696951281,0.978517731379174
"114908","114908","TMEM123",114908,"ENSG00000152558","black",-0.571588123326559,0.0165276453624507,-0.607348086673664,0.0097156524544755,0.476394259763567,0.0532052815802276,-0.373231166818382,0.140052297116136,0.264092623900062,0.305705857907696,0.271296195108132,0.292203995962795,-0.0649152079892163,0.804501475885768,0.410956583845282,0.101276212620356,0.284496519024116,0.268410819001017,0.806726285223152,9.12139964419311e-05,0.456544937581082,0.06545290432362,-0.232886402698896,0.368368135730365,-0.0836518358668685,0.749579500328298,-0.069455351505863,0.791103270007989
"58473","58473","PLEKHB1",58473,"ENSG00000021300","black",-0.557419169542372,0.0200858007650649,-0.583421459049792,0.0139529039626969,0.475536120751527,0.0536963551518136,-0.433875444976122,0.081852772035826,0.423789807880183,0.0900344116773271,0.480980412183803,0.0506375423168397,0.335537533463655,0.187958961603103,0.749563315418552,0.000531916527639118,0.0245182056174408,0.925582341541396,0.861245576424939,8.98230533988791e-06,0.0940352566887682,0.719608602576885,-0.395233962151357,0.116370257610072,0.00450199222611773,0.986318350747645,0.25983689732085,0.313853534022202
"6749","6749","SSRP1",6749,"ENSG00000149136","black",-0.54741380063478,0.0229391231408668,-0.571346589356921,0.0165838291964031,0.616474948948236,0.00840037658527332,-0.393733709658282,0.117888785421718,0.344752895779123,0.175364586684629,0.72452482692577,0.00100317157541775,-0.0579687817658922,0.825099534482201,0.510337658870299,0.036339359366211,0.260581192964137,0.312419419962434,0.838893852869206,2.57186174666575e-05,0.13637336092761,0.601738541579181,-0.367561322971427,0.146655703094099,0.0403530649146458,0.877792327014285,0.199857981246693,0.441847083698213
"3301","3301","DNAJA1",3301,"ENSG00000086061","black",-0.513041328110882,0.0351971534264152,-0.473653065776173,0.054785798835033,0.612911004744481,0.00889587319755141,-0.309269910010033,0.227079200777368,0.23429249362943,0.365400744568644,0.396734138972022,0.114865614502781,-0.0565655106576866,0.829274192308167,0.497516290104003,0.0421449943663764,0.397307243452127,0.114294437390929,0.876480787813838,3.93170521275662e-06,0.270033328298323,0.294544656710023,-0.442576349825915,0.0752400523520667,-0.0873786958144041,0.738780752458595,0.023383013269156,0.929019520616003
"55969","55969","C20orf24",55969,"ENSG00000101084","black",-0.510481808985855,0.0362777570736368,-0.475216673307529,0.0538800223243715,0.772012943688313,0.000282397751219015,-0.338186566919685,0.184279120309013,0.282955009184797,0.271125909941758,0.452321428897088,0.0683069256667279,0.153123298265687,0.557383795148302,0.630192479145915,0.00669495508529008,0.308553836407885,0.228213154735118,0.814285948526345,6.92298529201518e-05,0.0159772713203969,0.951469448868464,-0.533828306906338,0.0273060953127864,-0.104166613870897,0.69073255009574,0.11333708097563,0.664937204518606
